Face ID,Detection Time,Bounding Box
1,2024-11-19 14:16:33,"(265, 130, 250, 250)"
2,2024-11-19 14:17:06,"(532, 15, 53, 53)"
1,2024-11-19 19:16:30,"(308, 84, 204, 204)"
1,2024-11-19 19:28:20,"(277, 102, 196, 196)"
1,19:37:51,"(269, 75, 196, 196)"
1,19:41:58,"(246, 81, 196, 196)"
1,20:44:58,"(248, 117, 190, 190)"
2,20:45:27,"(354, 101, 56, 56)"
1,21:00:38,"(245, 280, 62, 62)"
1,08:04:00,"(132, 155, 196, 196)",30,"{'Woman': 22.57542610168457, 'Man': 77.42457389831543}"
2,08:04:04,"(102, 191, 164, 164)",26,"{'Woman': 3.8356073200702667, 'Man': 96.16438746452332}"
3,08:04:31,"(216, 227, 34, 34)",28,"{'Woman': 17.30857938528061, 'Man': 82.69141912460327}"
4,08:04:33,"(142, 188, 48, 48)",26,"{'Woman': 5.5282603949308395, 'Man': 94.47174072265625}"
1,2024-11-20 08:13:49,"(241, 186, 176, 176)",27,"{'Woman': 1.4276979491114616, 'Man': 98.57229590415955}"
2,2024-11-20 08:13:50,"(233, 179, 193, 193)",23,"{'Woman': 0.22808576468378305, 'Man': 99.77191090583801}"
1,2024-11-20 08:18:09,"(240, 99, 239, 239)",24,"{'Woman': 0.5760247353464365, 'Man': 99.42398071289062}"
1,08:27:22,"(366, 152, 255, 255)",26,"{'Woman': 0.9749473072588444, 'Man': 99.02504682540894}"
1,09:25:22,"(332, 150, 168, 168)",28,"{'Woman': 0.07326245540753007, 'Man': 99.92673993110657}"
2,09:25:24,"(53, 186, 255, 255)",24,"{'Woman': 6.849205493927002, 'Man': 93.150794506073}"
3,09:25:25,"(226, 121, 120, 120)",27,"{'Woman': 22.300726175308228, 'Man': 77.69927382469177}"
1,09:26:11,"(375, 192, 177, 177)",24,"{'Woman': 0.23099819663912058, 'Man': 99.76900815963745}"
2,09:26:35,"(50, 171, 158, 158)",32,"{'Woman': 20.17997056245804, 'Man': 79.82003092765808}"
3,09:26:37,"(188, 270, 56, 56)",36,"{'Woman': 25.676876306533813, 'Man': 74.32312369346619}"
4,09:26:44,"(405, 179, 170, 170)",29,"{'Woman': 0.6608292460441589, 'Man': 99.3391752243042}"
1,09:32:37,"(80, 203, 151, 151)",31,"{'Woman': 12.959624826908112, 'Man': 87.04038262367249}"
1,09:34:51,"(16, 210, 158, 158)",28,"{'Woman': 17.288672924041748, 'Man': 82.71133303642273}"
2,09:34:52,"(93, 116, 180, 180)",32,"{'Woman': 29.00046408176422, 'Man': 70.99953889846802}"
1,09:36:10,"(98, 159, 151, 151)",34,"{'Woman': 7.506484538316727, 'Man': 92.49351620674133}"
